"_id","title","link","pub","rating","comments"
"5c6e8333a620d52b3423cecf","浪潮之巅","https://book.douban.com/subject/6709783/","吴军 / 电子工业出版社 / 2011-8 / 55.00元","9.1","20863"
"5c6e8334a620d52b3423cf06","从0到1","https://book.douban.com/subject/26297606/","彼得·蒂尔、布莱克·马斯特斯 / 高玉芳 / 中信出版股份有限公司 / 2015-1-1 / CNY 45.00","7.6","19999"
"5c6e8334a620d52b3423ceec","黑客与画家","https://book.douban.com/subject/6021440/","[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元","8.8","15929"
"5c6e8333a620d52b3423ced2","大数据时代","https://book.douban.com/subject/20429677/","[英] 维克托•迈尔•舍恩伯格（Viktor Mayer-Schönberger） / 周涛 / 浙江人民出版社 / 2012-12 / 49.90元","7.5","14784"
"5c6e8333a620d52b3423ced3","写给大家看的设计书（第3版）","https://book.douban.com/subject/3323633/","[美] Robin Williams / 苏金国、刘亮 / 人民邮电出版社 / 2009-1 / 49.00元","8.6","10651"
"5c6e8335a620d52b3423cf97","数学之美","https://book.douban.com/subject/10750155/","吴军 / 人民邮电出版社 / 2012-5-1 / 45.00元","8.7","9224"
"5c6e8335a620d52b3423cf9a","创业维艰","https://book.douban.com/subject/26306686/","本·霍洛维茨 Ben Horowitz / 杨晓红、钟莉婷 / 中信出版社 / 2015-2 / 49","8.4","6569"
"5c6e8335a620d52b3423d06d","点石成金","https://book.douban.com/subject/1827702/","[美] 史蒂夫·克鲁克 / De Dream' / 机械工业出版社 / 2006-8 / 39.00元","8.5","6205"
"5c6e8335a620d52b3423cfb3","启示录","https://book.douban.com/subject/5914587/","[美] Marty Cagan / 七印部落 / 华中科技大学出版社 / 2011-5 / 36.00元","8.5","5564"
"5c6e8334a620d52b3423cf21","哥德尔、艾舍尔、巴赫","https://book.douban.com/subject/1291204/","[美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元","9.4","5247"
"5c6e8335a620d52b3423cfcc","算法导论（原书第2版）","https://book.douban.com/subject/1885170/","[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 / 机械工业出版社 / 2006-9 / 85.00元","9.3","4837"
"5c6e8334a620d52b3423cf90","Facebook效应","https://book.douban.com/subject/5313010/","[美] 大卫·柯克帕特里克 / 沈路、梁军、崔筝 / 华文出版社 / 2010-10 / 49.80","7.9","4727"
"5c6e8335a620d52b3423d014","C++ Primer 中文版（第 4 版）","https://book.douban.com/subject/1767741/","Stanley B.Lippman、Josée LaJoie、Barbara E.Moo / 李师贤、蒋爱军、梅晓勇、林瑛 / 人民邮电出版社 / 2006 / 99.00元","9.2","4206"
"5c6e8335a620d52b3423cfa6","C程序设计语言","https://book.douban.com/subject/1139336/","（美）Brian W. Kernighan、（美）Dennis M. Ritchie / 徐宝文、李志译、尤晋元审校 / 机械工业出版社 / 2004-1 / 30.00元","9.4","4151"
"5c6e8335a620d52b3423cfd9","代码大全（第2版）","https://book.douban.com/subject/1477390/","[美] 史蒂夫·迈克康奈尔 / 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 / 电子工业出版社 / 2006-3 / 128.00元","9.3","3588"
"5c6e8334a620d52b3423cef7","文明之光（第一册）","https://book.douban.com/subject/25902942/","吴军 / 人民邮电出版社 / 2014-6-25 / 59.00元","9","3521"
"5c6e8335a620d52b3423cfe7","Java编程思想 （第4版）","https://book.douban.com/subject/2130190/","[美] Bruce Eckel / 陈昊鹏 / 机械工业出版社 / 2007-6 / 108.00元","9.1","3318"
"5c6e8335a620d52b3423cfb8","编程之美","https://book.douban.com/subject/3004255/","《编程之美》小组 编 / 电子工业出版社 / 2008-3 / 40.00元","8.3","3020"
"5c6e8334a620d52b3423cf5d","人月神话","https://book.douban.com/subject/1102259/","[美] 弗雷德里克·布鲁克斯 / 汪颖 / 清华大学出版社 / 2002-11 / 29.80元","8.4","2961"
"5c6e8334a620d52b3423cf61","浪潮之巅（第2版）（套装上下册）","https://book.douban.com/subject/24738302/","吴军 / 人民邮电出版社 / 2013-7 / 80.00元","9.2","2849"
"5c6e8335a620d52b3423cfe2","Head First 设计模式（中文版）","https://book.douban.com/subject/2243615/","弗里曼 / O'Reilly Taiwan公司 / 中国电力出版社 / 2007-9 / 98.00元","9.2","2719"
"5c6e8335a620d52b3423cff5","设计模式","https://book.douban.com/subject/1052241/","[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides / 李英军、马晓星、蔡敏、刘建中 等 / 机械工业出版社 / 2000-9 / 35.00元","9.1","2709"
"5c6e8334a620d52b3423cf57","数学之美 （第二版）","https://book.douban.com/subject/26163454/","吴军 / 人民邮电出版社 / 2014-11 / 49.00元","8.9","2629"
"5c6e8335a620d52b3423cff8","深入理解计算机系统","https://book.douban.com/subject/1230413/","Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 中国电力出版社 / 2004-5-1 / 85.00元","9.5","2608"
"5c6e8334a620d52b3423cf0f","编码","https://book.douban.com/subject/4822685/","[美] Charles Petzold / 左飞、薛佟佟 / 电子工业出版社 / 2010 / 55.00元","9.2","2457"
"5c6e8335a620d52b3423d050","文明之光（第二册）","https://book.douban.com/subject/25902222/","吴军 / 人民邮电出版社 / 2014-6 / 59.00元","8.9","2257"
"5c6e8334a620d52b3423cf66","深入理解计算机系统（原书第2版）","https://book.douban.com/subject/5333562/","（美）Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 机械工业出版社 / 2011-1-1 / 99.00元","9.7","2246"
"5c6e8335a620d52b3423cfb4","软件随想录","https://book.douban.com/subject/4163938/","Joel Spolsky / 阮一峰 / 人民邮电出版社 / 2009 / 49.00元","8.7","2237"
"5c6e8334a620d52b3423cefa","UNIX环境高级编程","https://book.douban.com/subject/1788421/","W.Richard Stevens、Stephen A.Rago / 尤晋元、张亚英、戚正伟 / 人民邮电出版社 / 2006年 / 99.00元","9.4","2201"
"5c6e8334a620d52b3423cf83","程序员修炼之道","https://book.douban.com/subject/1152111/","Andrew Hunt、David Thomas / 马维达 / 电子工业出版社 / 2005-1 / 48.00元","8.6","2190"
"5c6e8335a620d52b3423d0d3","淘宝技术这十年","https://book.douban.com/subject/24335672/","子柳 / 电子工业出版社 / 2013-5 / 45.00元","7.3","2129"
"5c6e8334a620d52b3423cf7e","程序员的自我修养","https://book.douban.com/subject/3652388/","俞甲子、石凡、潘爱民 / 电子工业出版社 / 2009-4 / 65.00","8.8","2101"
"5c6e8334a620d52b3423cf3f","计算机程序的构造和解释","https://book.douban.com/subject/1148282/","Harold Abelson、Gerald Jay Sussman、Julie Sussman / 裘宗燕 / 机械工业出版社 / 2004-2 / 45.00元","9.5","2091"
"5c6e8335a620d52b3423cffe","信息简史","https://book.douban.com/subject/25752043/","[美] 詹姆斯·格雷克 / 高博 / 人民邮电出版社 / 2013-10 / 69.00元","8.7","2081"
"5c6e8334a620d52b3423cef9","UNIX编程艺术","https://book.douban.com/subject/1467587/","Eric S. Raymond / 姜宏、何源、蔡晓俊 / 电子工业出版社 / 2006-2 / 59.00元","9.1","2063"
"5c6e8335a620d52b3423cfd8","重构","https://book.douban.com/subject/1229923/","Martin Fowler / 熊节 / 中国电力出版社 / 2003-8-1 / 68.00元","9","2025"
"5c6e8333a620d52b3423ceda","TCP/IP详解 卷1：协议","https://book.douban.com/subject/1088054/","W.Richard Stevens / 范建华 / 机械工业出版社 / 2000-4-1 / 45.00元","9.2","1991"
"5c6e8334a620d52b3423cf8c","编程珠玑","https://book.douban.com/subject/3227098/","Jon Bentley / 黄倩、钱丽艳 / 人民邮电出版社 / 2008-10 / 39.00元","9.1","1945"
"5c6e8335a620d52b3423cffb","JavaScript高级程序设计（第3版）","https://book.douban.com/subject/10546125/","[美] Nicholas C. Zakas / 李松峰、曹力 / 人民邮电出版社 / 2012-3-29 / 99.00元","9.3","1942"
"5c6e8335a620d52b3423cfaf","我是一只IT小小鸟","https://book.douban.com/subject/4006425/","胡江堂、李成、唐雅薇、秦琴、蒋宇东、刘未鹏、居振梁、刘帅、温卫斌、张弦、张凯峰、庄表伟、宋劲杉、程露、黄小明、易晓东、简朝阳、林健、高昂、徐宥、辜新星 / 电子工业出版社 / 2009 / 29.80","7.8","1888"
"5c6e8334a620d52b3423cf0c","C专家编程","https://book.douban.com/subject/2377310/","Peter Van Der Linden / 徐波 / 人民邮电出版社 / 2008-2 / 45.00元","9.2","1852"
"5c6e8335a620d52b3423d069","走出软件作坊","https://book.douban.com/subject/3319935/","阿朱 / 电子工业出版社 / 2009-1 / 39.80","8.2","1817"
"5c6e8334a620d52b3423cee4","大话设计模式","https://book.douban.com/subject/2334288/","程杰 / 清华大学出版社 / 2007-12-1 / 45.00元","8.3","1800"
"5c6e8335a620d52b3423cfed","图解HTTP","https://book.douban.com/subject/25863515/","【日】上野宣 / 于均良 / 人民邮电出版社 / 2014-4-15 / 49.00元","8.1","1788"
"5c6e8335a620d52b3423cfd1","程序员的思维修炼","https://book.douban.com/subject/5372651/","Andy Hunt / 崔康 / 人民邮电出版社 / 2010-12-10 / 39.00元","8.4","1754"
"5c6e8334a620d52b3423cf4c","JavaScript语言精粹","https://book.douban.com/subject/3590768/","Douglas Crockford / 赵泽欣、鄢学鹍 / 电子工业出版社 / 2009-4 / 35.00元","9.1","1729"
"5c6e8334a620d52b3423cf1b","C Primer Plus","https://book.douban.com/subject/1240002/","Stephen Prata、云巅工作室 / 云巅工作室 / 人民邮电出版社 / 2005-2-1 / 60.00元","9.1","1715"
"5c6e8334a620d52b3423cf47","Python基础教程（第2版）","https://book.douban.com/subject/4866934/","Magnus Lie Hetland / 司维、曾军崴、谭颖华 / 人民邮电出版社 / 2010-7 / 69.00元","8","1711"
"5c6e8334a620d52b3423cf17","机器学习","https://book.douban.com/subject/26708119/","周志华 / 清华大学出版社 / 2016-1-1 / 88.00元","8.7","1695"
"5c6e8334a620d52b3423ceeb","数据结构与算法分析","https://book.douban.com/subject/1139426/","维斯 / 冯舜玺 / 机械工业出版社 / 2004-1-1 / 35.00元","8.9","1687"
"5c6e8335a620d52b3423cfd2","人工智能","https://book.douban.com/subject/27015112/","李开复、王咏刚 / 文化发展出版社 / 2017-5-10 / CNY 55.00","7.3","1645"
"5c6e8334a620d52b3423cf1e","硅谷之谜","https://book.douban.com/subject/26665230/","吴军 / 人民邮电出版社 / 2015-12-1 / 59.00","8.5","1630"
"5c6e8334a620d52b3423cef0","统计学习方法","https://book.douban.com/subject/10590856/","李航 / 清华大学出版社 / 2012-3 / 38.00元","9","1625"
"5c6e8335a620d52b3423d039","MacTalk 人生元编程","https://book.douban.com/subject/25826578/","池建强 / 人民邮电出版社 / 2014-2-1 / 45","7","1591"
"5c6e8335a620d52b3423cfb5","复杂","https://book.douban.com/subject/6749832/","梅拉妮·米歇尔 / 唐璐 / 湖南科学技术出版社 / 2011-8-1 / 38.00元","9","1561"
"5c6e8335a620d52b3423cfd7","重构","https://book.douban.com/subject/4262627/","Martin Fowler / 熊节 / 人民邮电出版社 / 2010 / 69.00元","9.1","1543"
"5c6e8334a620d52b3423cf41","Effective java 中文版（第2版）","https://book.douban.com/subject/3360807/","Joshua Bloch / 俞黎敏 / 机械工业出版社 / 2009-1-1 / 52.00元","9.1","1477"
"5c6e8335a620d52b3423cffd","C程序设计","https://book.douban.com/subject/1679623/","谭浩强 / 清华大学出版社 / 2005-7-1 / 26.00元","7","1456"
"5c6e8334a620d52b3423cf07","深入浅出数据分析","https://book.douban.com/subject/5257905/","Michael Milton / 李芳 / 电子工业出版社 / 2009 / 88.00元","7.5","1453"
"5c6e8334a620d52b3423cefc","皇帝新脑","https://book.douban.com/subject/1206206/","罗杰·彭罗斯 / 许明贤、吴忠超 / 湖南科学技术出版社 / 2007-6-1 / 38.00元","8.1","1428"
"5c6e8335a620d52b3423d027","深度探索C++对象模型","https://book.douban.com/subject/1091086/","[美] Stanley B. Lippman / 侯捷 / 华中科技大学出版社 / 2001-5 / 54.00元","9.1","1400"
"5c6e8334a620d52b3423cf5a","集体智慧编程","https://book.douban.com/subject/3288908/","TOBY SEGARAN / 莫映、王开福 / 电子工业出版社 / 2009-1 / 59.80元","9","1395"
"5c6e8334a620d52b3423cee2","DOOM启世录","https://book.douban.com/subject/1152971/","[美] 大卫·卡什诺 / 孙振南 / 电子工业出版社 / 2004-4 / 29.00元","9.1","1376"
"5c6e8334a620d52b3423cef2","HTTP权威指南","https://book.douban.com/subject/10746113/","David Gourley、Brian Totty / 陈涓、赵振平 / 人民邮电出版社 / 2012-9 / 109.00元","8.6","1350"
"5c6e8334a620d52b3423cf42","代码整洁之道","https://book.douban.com/subject/4199741/","[美]Robert C. Martin / 韩磊 / 人民邮电出版社 / 2010-1-1 / 59.00元","8.6","1333"
"5c6e8334a620d52b3423cf01","Python编程","https://book.douban.com/subject/26829016/","[美]埃里克·马瑟斯 / 袁国忠 / 人民邮电出版社 / 2016-7-1 / CNY 89.00","9.1","1332"
"5c6e8335a620d52b3423cf9d","奇点临近","https://book.douban.com/subject/6855803/","Ray Kurzweil / 董振华、李庆成 / 机械工业出版社 / 2011-10 / 69.00元","7.7","1329"
"5c6e8335a620d52b3423cfd3","敏捷软件开发","https://book.douban.com/subject/1140457/","Robert C. Martin / 邓辉 / 清华大学出版社 / 2003-09-01 / 59.00元","9.1","1315"
"5c6e8334a620d52b3423cf92","编码的奥秘","https://book.douban.com/subject/1024570/","Charles Petzold / 伍卫国、王宣政、孙燕妮 / 机械工业出版社 / 2000-9-1 / 24.00","9.3","1309"
"5c6e8334a620d52b3423cf3e","C和指针","https://book.douban.com/subject/3012360/","Kenneth A.Reek / 徐波 / 人民邮电出版社 / 2008 年4月 / 65.00元","9","1301"
"5c6e8334a620d52b3423cf25","人月神话","https://book.douban.com/subject/2230248/","弗雷德里克.布鲁克斯 / UMLChina翻译组、汪颖 / 清华大学出版社 / 2007-9 / 48.00元","8.6","1257"
"5c6e8333a620d52b3423ced7","C陷阱与缺陷","https://book.douban.com/subject/2778632/","凯尼格 / 高巍 / 人民邮电出版社 / 2008-2-1 / 30.00元","8.9","1256"
"5c6e8334a620d52b3423cf44","C++ Primer 中文版（第 5 版）","https://book.douban.com/subject/25708312/","[美] Stanley B. Lippman、[美] Josée Lajoie、[美] Barbara E. Moo / 王刚、杨巨峰 / 电子工业出版社 / 2013-9-1 / CNY 128.00","9.4","1255"
"5c6e8335a620d52b3423cfe4","艾伦·图灵传","https://book.douban.com/subject/10522003/","[英] 安德鲁·霍奇斯 / 孙天齐 / 湖南科学技术出版社 / 2012-3-31 / 59.00元","8.4","1237"
"5c6e8335a620d52b3423cfdf","逻辑的引擎","https://book.douban.com/subject/1391740/","[美] 马丁·戴维斯 / 张卜天 / 湖南科学技术出版社 / 2005-5 / 20.00元","8.5","1213"
"5c6e8333a620d52b3423ced1","The  C Programming Language","https://book.douban.com/subject/1236999/","Brian W. Kernighan、Dennis M. Ritchie / Prentice Hall / 1988-4-1 / USD 67.00","9.6","1210"
"5c6e8335a620d52b3423d036","系统之美","https://book.douban.com/subject/11528220/","[美] 德内拉•梅多斯 / 邱昭良 / 浙江人民出版社 / 2012-8 / 56.90元","8.2","1173"
"5c6e8333a620d52b3423ced9","汇编语言（第2版）","https://book.douban.com/subject/3037562/","王爽 / 清华大学出版社 / 2008-4 / 33.00元","9.4","1167"
"5c6e8335a620d52b3423cfa3","深入理解Java虚拟机（第2版）","https://book.douban.com/subject/24722612/","周志明 / 机械工业出版社 / 2013-9-1 / 79.00元","8.9","1161"
"5c6e8334a620d52b3423cf74","Effective C++","https://book.douban.com/subject/1842426/","[美]Scott Meyers / 侯捷 / 电子工业出版社 / 2006-7 / 58.00元","9.5","1092"
"5c6e8335a620d52b3423cfb6","大话数据结构","https://book.douban.com/subject/6424904/","程杰 / 清华大学出版社 / 2011-6 / 59.00元","7.9","1068"
"5c6e8334a620d52b3423cf37","Head First Java（第二版·中文版）","https://book.douban.com/subject/2000732/","Kathy Sierra,Bert Bates 著、杨尊一 编译 张然等 改编 / 杨尊一 / 中国电力出版社 / 2007-2 / 79.00元","8.7","1064"
"5c6e8335a620d52b3423d047","精通正则表达式","https://book.douban.com/subject/2154713/","Jeffrey E. F. Friedl / 余晟 / 电子工业出版社 / 2007 / 75","8.9","1037"
"5c6e8334a620d52b3423ceee","利用Python进行数据分析","https://book.douban.com/subject/25779298/","Wes McKinney / 唐学韬 / 机械工业出版社 / 2013-11-18 / 89.00","8.5","975"
"5c6e8334a620d52b3423cf4b","MySQL必知必会","https://book.douban.com/subject/3354490/","[英] Ben Forta / 刘晓霞、钟鸣 / 人民邮电出版社 / 2009-1 / 39.00元","8.4","946"
"5c6e8334a620d52b3423cf95","Java并发编程实战","https://book.douban.com/subject/10484692/","Brian Goetz、Tim Peierls、Joshua Bloch、Joseph Bowbeer、David Holmes、Doug Lea / 童云兰 / 机械工业出版社华章公司 / 2012-2 / 69.00元","9","946"
"5c6e8335a620d52b3423cfe5","机器学习实战","https://book.douban.com/subject/24703171/","Peter Harrington / 李锐、李鹏、曲亚东、王斌 / 人民邮电出版社 / 2013-6 / 69.00元","8.2","941"
"5c6e8334a620d52b3423cf03","算法（第4版）","https://book.douban.com/subject/19952400/","塞奇威克 (Robert Sedgewick)、韦恩 (Kevin Wayne) / 谢路云 / 人民邮电出版社 / 2012-10-1 / 99.00元","9.4","920"
"5c6e8334a620d52b3423cf27","SQL必知必会","https://book.douban.com/subject/24250054/","福达 (Ben Forta) / 钟鸣、刘晓霞 / 人民邮电出版社 / 2013-5-1 / 29.00元","8.5","907"
"5c6e8334a620d52b3423cf10","程序员的数学","https://book.douban.com/subject/19949020/","结城浩 / 管杰 / 人民邮电出版社 / 2012-10 / 49.00元","7.2","905"
"5c6e8335a620d52b3423d0d1","Python学习手册","https://book.douban.com/subject/3948354/","Mark Lutz / 侯靖 / 机械工业出版社 / 2009-8 / 89.00元","8.2","882"
"5c6e8334a620d52b3423cf5b","程序员修炼之道","https://book.douban.com/subject/5387402/","Andrew Hunt、David Thomas / 马维达 / 电子工业出版社 / 2011-1 / 55.00元","8.8","880"
"5c6e8334a620d52b3423cf79","计算机网络","https://book.douban.com/subject/1179807/","Andrew S. Tanenbaum / 潘爱民 / 清华大学出版社 / 2004-8-1 / 60.00元","8.7","875"
"5c6e8335a620d52b3423d035","梦断代码","https://book.douban.com/subject/3142280/","Scott Rosenberg / 韩磊 / 电子工业出版社 / 2008.06 / 49.00元","7.8","871"
"5c6e8334a620d52b3423cf54","浪潮之巅（第三版）（上下册）","https://book.douban.com/subject/26792439/","吴军 / 人民邮电出版社 / 2016-5 / 99.00元","9.3","865"
"5c6e8335a620d52b3423d00e","卓有成效的程序员","https://book.douban.com/subject/3558788/","Neal Ford / 熊节 / 机械工业出版社 / 2009-3 / 45.00元","8.1","847"
"5c6e8335a620d52b3423d0ce","Web信息架构(第3版)","https://book.douban.com/subject/3169342/","Peter Morville、Louis Rosenfeld / 陈建勋 / 电子工业出版社 / 2008年8月 / 85.00","8.2","842"
"5c6e8335a620d52b3423cfd6","具体数学（英文版第2版）","https://book.douban.com/subject/1231910/","[美] Ronald L. Graham、Donald E. Knuth、Oren Patashnik / 机械工业出版社 / 2002-8 / 49.00元","9.5","823"
"5c6e8334a620d52b3423cf87","算法图解","https://book.douban.com/subject/26979890/","[美] Aditya Bhargava / 袁国忠 / 人民邮电出版社 / 2017-3 / 49.00元","8.4","815"
"5c6e8334a620d52b3423cf71","编译原理","https://book.douban.com/subject/3296317/","Alfred V. Aho、Monica S.Lam、Ravi Sethi、Jeffrey D. Ullman / 赵建华、郑滔、戴新宇 / 机械工业出版社 / 2008年12月 / 89.00元","9.1","814"
"5c6e8335a620d52b3423cfda","软技能","https://book.douban.com/subject/26835090/","John Sonmez / 王小刚 / 人民邮电出版社 / 2016-7 / 59.00元","8","814"
"5c6e8335a620d52b3423d030","编写可读代码的艺术","https://book.douban.com/subject/10797189/","Boswell, D.、Foucher, T. / 尹哲、郑秀雯 / 机械工业出版社 / 2012-7-10 / 59.00元","8.7","800"
"5c6e8334a620d52b3423cf2a","代码的未来","https://book.douban.com/subject/24536403/","[日] 松本行弘 / 周自恒 / 人民邮电出版社 / 2013-6 / 79.00元","7.8","798"
"5c6e8335a620d52b3423d004","计算机网络","https://book.douban.com/subject/2970300/","谢希仁 / 电子工业出版社 / 2008-1 / 35.00元","7.9","774"
"5c6e8334a620d52b3423cee8","人工智能的未来","https://book.douban.com/subject/1834728/","Jeff Hawkins、Sandra Blakeslee / 贺俊杰、李若子、杨倩 / 陕西科学技术出版社 / 2006.1 / 18.5","8.8","772"
"5c6e8334a620d52b3423cf48","机器学习","https://book.douban.com/subject/1102235/","(美)Tom Mitchell / 曾华军、张银奎、等 / 机械工业出版社 / 2008-3 / 35.00元","8.4","766"
"5c6e8335a620d52b3423d066","Effective Java 中文版","https://book.douban.com/subject/1103015/","（美）Joshua Bloch / 潘爱民 / 机械工业出版社 / 2003-1 / 39.00元","8.9","756"
"5c6e8334a620d52b3423cef4","Python源码剖析","https://book.douban.com/subject/3117898/","陈儒 / 电子工业出版社 / 2008-6 / 69.80元","8.7","724"
"5c6e8334a620d52b3423cf86","图解TCP/IP : 第5版","https://book.douban.com/subject/24737674/","[日]竹下隆史、[日]村山公保、[日]荒井透、[日]苅田幸雄 / 乌尼日其其格 / 人民邮电出版社 / 2013-7-1 / 69.00元","7.8","709"
"5c6e8334a620d52b3423cf59","浪潮之巅（上册）","https://book.douban.com/subject/24739213/","吴军 / 人民邮电出版社 / 2013-5-1 / 35.00元","9.1","700"
"5c6e8335a620d52b3423d056","线性代数及其应用","https://book.douban.com/subject/1425950/","（美）莱（Lay D.C.） / 刘深泉 等 / 机械工业出版社 / 2005-8-1 / 59.00元","9.1","698"
